area1488486400|-3.599999999999999,49.800705375|-3.604459,49.800148|-3.6047180123333384,49.8|-3.6999999999999993,49.8|-3.6999999999999993,49.9|-3.599999999999999,49.9
area1173401600|-8.407997,49.099642|-8.410997,49.079642|-8.420997,49.062642|-8.426997,49.042642|-8.439997,49.020641|-8.4441252,49.0|-8.474877333333332,49.0|-8.472997,49.005641|-8.464997,49.016641|-8.459997,49.026641|-8.449997,49.056642|-8.445997,49.075642|-8.445997,49.083642|-8.442997,49.092642|-8.436497,49.099142|-8.434888249999998,49.1|-8.40750875309091,49.1
area1354523500|-6.556482,50.283152|-6.566482,50.279152|-6.579482,50.277152|-6.6,50.26377127742272|-6.6,50.286699999999996|-6.594483,50.289152|-6.588982,50.294652|-6.588387777777777,50.300000000000004|-6.5344499999999925,50.300000000000004
area117358600|-1.4,45.5|-1.5,45.5|-1.5,45.6|-1.4,45.6
area1173437100|-2.9,49.3|-3.0,49.3|-3.0,49.4|-2.9,49.4
area1173413900|-6.1,49.1|-6.199999999999999,49.1|-6.199999999999999,49.2|-6.1,49.2
area1173272800|-7.2,47.7|-7.3,47.7|-7.3,47.72521533333333|-7.299488,47.72513|-7.295488,47.72613|-7.275488,47.74213|-7.260488,47.750131|-7.254988,47.755631|-7.248988,47.769631|-7.246988,47.787631|-7.241894882352939,47.800000000000004|-7.2,47.800000000000004
area1173515200|-4.8,50.1|-4.863618999999997,50.1|-4.861469,50.10215|-4.848469,50.107151|-4.841469,50.113151|-4.824469,50.119151|-4.821469,50.122151|-4.8,50.12871079000583
area1481539600|-0.4,50.3|-0.5,50.3|-0.5,50.4|-0.4,50.4
area1173472600|-7.4,49.701636|-7.401635999999996,49.7|-7.5,49.7|-7.5,49.800000000000004|-7.4,49.800000000000004
area1173563500|-6.597483,50.636155|-6.584482,50.624155|-6.567482,50.615155|-6.564982,50.612655|-6.559482,50.600155|-6.550482,50.604155|-6.540482,50.614155|-6.533482,50.618155|-6.518482,50.624155|-6.510482,50.624155|-6.504482,50.622155|-6.500982,50.618655|-6.5,50.611290000000004|-6.5,50.6|-6.6,50.6|-6.6,50.636784250000005
area1173217300|-2.709952,47.198626|-2.710952,47.171626|-2.707952,47.161626|-2.706952,47.149625|-2.712452,47.144125|-2.717452,47.144125|-2.722953,47.148625|-2.724953,47.154626|-2.724953,47.170626|-2.732453,47.176126|-2.739453,47.174126|-2.753453,47.162126|-2.765453,47.155126|-2.779453,47.151125|-2.785453,47.152125|-2.797453,47.151125|-2.8,47.147122571428575|-2.8,47.2|-2.710181000000001,47.2
area1173217301|-2.793453,47.107125|-2.791953,47.102625|-2.793770307692308,47.1|-2.8,47.1|-2.8,47.11018026666667
area1481559600|-0.4,50.5|-0.5,50.5|-0.5,50.6|-0.4,50.6
area1173323800|-6.2,48.28184930875427|-6.21498,48.273635|-6.21898,48.257635|-6.22398,48.245635|-6.23648,48.232135|-6.24148,48.231135|-6.24298,48.232635|-6.24398,48.246635|-6.23898,48.263635|-6.22498,48.279635|-6.21798,48.298635|-6.216887908999994,48.300000000000004|-6.2,48.300000000000004
area1173323801|-6.2,48.2|-6.267191809523805,48.2|-6.25448,48.212134|-6.24548,48.215134|-6.23648,48.213134|-6.22948,48.217135|-6.21698,48.228635|-6.21198,48.238635|-6.2,48.25510647053309
area1374518600|-1.4,50.133151|-1.402442,50.133151|-1.407442,50.135151|-1.409942,50.137651|-1.410942,50.141651|-1.403442,50.147151|-1.4,50.147151
area1173225500|-4.5,47.2|-4.6,47.2|-4.6,47.300000000000004|-4.5,47.300000000000004
area1173127200|-2.7999999999999994,46.2|-2.8999999999999995,46.2|-2.8999999999999995,46.300000000000004|-2.7999999999999994,46.300000000000004
area1430465200|-4.8,49.69100824555018|-4.803469,49.691147|-4.814469,49.697147|-4.816751400000004,49.7|-4.8,49.7
