area1488486400|-3.599999999999999,49.800705375|-3.604459,49.800148|-3.6047180123333384,49.8|-3.6999999999999993,49.8|-3.6999999999999993,49.9|-3.599999999999999,49.9
area1173401600|-8.407997,49.099642|-8.410997,49.079642|-8.420997,49.062642|-8.426997,49.042642|-8.439997,49.020641|-8.4441252,49.0|-8.474877333333332,49.0|-8.472997,49.005641|-8.464997,49.016641|-8.459997,49.026641|-8.449997,49.056642|-8.445997,49.075642|-8.445997,49.083642|-8.442997,49.092642|-8.436497,49.099142|-8.434888249999998,49.1|-8.40750875309091,49.1
area1354523500|-6.556482,50.283152|-6.566482,50.279152|-6.579482,50.277152|-6.6,50.26377127742272|-6.6,50.286699999999996|-6.594483,50.289152|-6.588982,50.294652|-6.588387777777777,50.300000000000004|-6.5344499999999925,50.300000000000004
area117358600|-1.4,45.5|-1.5,45.5|-1.5,45.6|-1.4,45.6
area1173437100|-2.9,49.3|-3.0,49.3|-3.0,49.4|-2.9,49.4
area1173413900|-6.1,49.1|-6.199999999999999,49.1|-6.199999999999999,49.2|-6.1,49.2
area1173272800|-7.2,47.7|-7.3,47.7|-7.3,47.72521533333333|-7.299488,47.72513|-7.295488,47.72613|-7.275488,47.74213|-7.260488,47.750131|-7.254988,47.755631|-7.248988,47.769631|-7.246988,47.787631|-7.241894882352939,47.800000000000004|-7.2,47.800000000000004
area1173515200|-4.8,50.1|-4.863618999999997,50.1|-4.861469,50.10215|-4.848469,50.107151|-4.841469,50.113151|-4.824469,50.119151|-4.821469,50.122151|-4.8,50.12871079000583
area1481539600|-0.4,50.3|-0.5,50.3|-0.5,50.4|-0.4,50.4
area1173472600|-7.4,49.701636|-7.401635999999996,49.7|-7.5,49.7|-7.5,49.800000000000004|-7.4,49.800000000000004
area1173563500|-6.597483,50.636155|-6.584482,50.624155|-6.567482,50.615155|-6.564982,50.612655|-6.559482,50.600155|-6.550482,50.604155|-6.540482,50.614155|-6.533482,50.618155|-6.518482,50.624155|-6.510482,50.624155|-6.504482,50.622155|-6.500982,50.618655|-6.5,50.611290000000004|-6.5,50.6|-6.6,50.6|-6.6,50.636784250000005
area1173217300|-2.709952,47.198626|-2.710952,47.171626|-2.707952,47.161626|-2.706952,47.149625|-2.712452,47.144125|-2.717452,47.144125|-2.722953,47.148625|-2.724953,47.154626|-2.724953,47.170626|-2.732453,47.176126|-2.739453,47.174126|-2.753453,47.162126|-2.765453,47.155126|-2.779453,47.151125|-2.785453,47.152125|-2.797453,47.151125|-2.8,47.147122571428575|-2.8,47.2|-2.710181000000001,47.2
area1173217301|-2.793453,47.107125|-2.791953,47.102625|-2.793770307692308,47.1|-2.8,47.1|-2.8,47.11018026666667
area1481559600|-0.4,50.5|-0.5,50.5|-0.5,50.6|-0.4,50.6
area1173323800|-6.2,48.28184930875427|-6.21498,48.273635|-6.21898,48.257635|-6.22398,48.245635|-6.23648,48.232135|-6.24148,48.231135|-6.24298,48.232635|-6.24398,48.246635|-6.23898,48.263635|-6.22498,48.279635|-6.21798,48.298635|-6.216887908999994,48.300000000000004|-6.2,48.300000000000004
area1173323801|-6.2,48.2|-6.267191809523805,48.2|-6.25448,48.212134|-6.24548,48.215134|-6.23648,48.213134|-6.22948,48.217135|-6.21698,48.228635|-6.21198,48.238635|-6.2,48.25510647053309
area1374518600|-1.4,50.133151|-1.402442,50.133151|-1.407442,50.135151|-1.409942,50.137651|-1.410942,50.141651|-1.403442,50.147151|-1.4,50.147151
area1173225500|-4.5,47.2|-4.6,47.2|-4.6,47.300000000000004|-4.5,47.300000000000004
area1173127200|-2.7999999999999994,46.2|-2.8999999999999995,46.2|-2.8999999999999995,46.300000000000004|-2.7999999999999994,46.300000000000004
area1430465200|-4.8,49.69100824555018|-4.803469,49.691147|-4.814469,49.697147|-4.816751400000004,49.7|-4.8,49.7
area1291561300|-8.700000000000001,50.63640440909091|-8.705499,50.633155|-8.716999,50.630155|-8.728499,50.631155|-8.731999,50.633655|-8.730999,50.638655|-8.718499,50.650155|-8.700499,50.660155|-8.700000000000001,50.66032965
area1173233700|-6.300000000000001,47.381300333333336|-6.30848,47.384127|-6.31448,47.388127|-6.31898,47.396628|-6.317534857142858,47.4|-6.300000000000001,47.4
area1227594600|-5.423973,50.997658|-5.419973,50.989658|-5.413473,50.984158|-5.409473,50.984158|-5.403973,50.987658|-5.4,50.995604|-5.4,50.952158|-5.401473,50.952158|-5.412473,50.956158|-5.423473,50.956158|-5.435474,50.953158|-5.447474,50.954158|-5.456474,50.949158|-5.458974,50.945658|-5.456974,50.935658|-5.459974,50.931158|-5.466474,50.932158|-5.468974,50.937658|-5.467974,50.955658|-5.463974,50.968658|-5.457474,50.974158|-5.447474,50.976158|-5.442474,50.979158|-5.426473,50.998158
area1488527400|-2.693452,50.287152|-2.683452,50.276152|-2.677952,50.273652|-2.677952,50.270652|-2.694452,50.262152|-2.6999999999999993,50.262152|-2.6999999999999993,50.288932800000005|-2.699452,50.289152
area1404491100|-8.9,49.9|-8.911648999999999,49.9|-8.9,49.911649
area1356594900|-5.1,50.9|-5.199999999999999,50.9|-5.199999999999999,51.0|-5.1,51.0
area1173446700|-3.382458,49.496145|-3.395458,49.487145|-3.3999999999999995,49.485847285714286|-3.3999999999999995,49.5|-3.3660737681249993,49.5
area1173446701|-3.2999999999999994,49.46951561290322|-3.310957,49.477645|-3.310957,49.480645|-3.307457,49.485145|-3.2999999999999994,49.49030753846154
area1173553200|-6.800000000000001,50.5|-6.9,50.5|-6.9,50.6|-6.800000000000001,50.6
area1488494600|-5.4,49.9|-5.413621999999998,49.9|-5.412473,49.901149|-5.4,49.90498684615385
area1173454900|-5.1,49.5|-5.199999999999999,49.5|-5.199999999999999,49.6|-5.1,49.6
area1221592200|-7.800000000000001,50.96455161797753|-7.813492,50.965158|-7.823492,50.964158|-7.831492,50.966158|-7.833992,50.970658|-7.827492,50.977158|-7.800492,50.988158|-7.800000000000001,50.98824
area1488467000|-2.9999999999999996,49.6026844|-3.005592499999997,49.6|-3.0999999999999996,49.6|-3.0999999999999996,49.62106502394737|-3.082455,49.632147|-3.065455,49.636147|-3.058955,49.640647|-3.057955,49.645647|-3.066455,49.650147|-3.068455,49.650147|-3.073455,49.644147|-3.082455,49.641147|-3.089455,49.642147|-3.090955,49.645647|-3.082455,49.650147|-3.070455,49.651147|-3.064955,49.655647|-3.058955,49.662647|-3.051955,49.676647|-3.050955,49.690647|-3.0462784999999983,49.7|-2.9999999999999996,49.7
area1173138100|-1.9,46.3|-2.0,46.3|-2.0,46.4|-1.9,46.4
area1017405500|-4.526966,49.006641|-4.525068571428572,49.0|-4.554333846153846,49.0|-4.551467,49.004141|-4.536467,49.011141|-4.530467,49.011141
area1173364800|-5.2,48.600138|-5.211472,48.600138|-5.21163509090909,48.6|-5.3,48.6|-5.3,48.7|-5.2,48.7
area1070364000|-6.095979,48.693639|-6.088979,48.683638|-6.077979,48.672638|-6.073978,48.663638|-6.073978,48.657638|-6.076978,48.651638|-6.1,48.632357557011076|-6.1,48.660840750000006|-6.096979,48.667638|-6.096979,48.672638|-6.098979,48.677638|-6.1,48.678659|-6.1,48.69766
area117317700|-2.2999999999999994,45.119499352941176|-2.2999999999999994,45.1|-2.3074705999999994,45.1|-2.306949,45.102608|-2.307949,45.114608|-2.303449,45.120108
area117317701|-2.39645,45.107108|-2.38445,45.103108|-2.3799606666666704,45.1|-2.3999999999999995,45.1|-2.3999999999999995,45.10968981818181
area1254115800|-4.256464,46.191117|-4.248964,46.184617|-4.239964,46.162617|-4.239964,46.153617|-4.241964,46.148617|-4.250464,46.141117|-4.258964,46.138117|-4.281465,46.138117|-4.287465,46.141117|-4.289965,46.145617|-4.289965,46.150617|-4.280965,46.167617|-4.275965,46.182617|-4.268464,46.191117|-4.262464,46.193117
